Studio,City,ZIP Code,Latitude,Longitude,Studio Count
"Judith S Daniels, DPT C-IAYT",Marina Del Rey,90292,33.98163384,-118.4511079,7
Sivananda Yoga Vedanta Center,Marina Del Rey,90292,33.98163384,-118.4511079,7
Angel Najarian,Marina Del Rey,90292,33.98163384,-118.4511079,7
CorePower Yoga,Marina Del Rey,90292,33.98163384,-118.4511079,7
Miss Mermaid,Venice,90291,33.99258325,-118.4663763,4
One Infinity Healing,Venice,90291,33.99258325,-118.4663763,4
YogaMusic,Venice,90291,33.99258325,-118.4663763,4
La Doula Vita,Venice,90291,33.99258325,-118.4663763,4
Wholly Welcome,Topanga,90290,34.10128225,-118.6049472,3
Marcia Paige Hamelin,Topanga,90290,34.10128225,-118.6049472,3
C. Josephine Wilkins,Topanga,90290,34.10128225,-118.6049472,3
The Push Partner,Rancho Palos Verdes,90275,33.76310179,-118.3666584,1
Giving Earth Healing Arts,Manhattan Beach,90266,33.89004112,-118.4032477,1
Malibu Psychic Center,Malibu,90265,34.03506003,-118.7602985,1
LA Fitness,Huntington Park,90255,33.97867054,-118.2189978,1
Beach Cities Birth,Hermosa Beach,90254,33.86430131,-118.3971864,1
Cliffs of Id,Culver City,90232,34.01970043,-118.3959568,10
Veda Yoga Center,Culver City,90232,34.01970043,-118.3959568,10
SoulPlay Yoga,Culver City,90232,34.01970043,-118.3959568,10
Ma Yoga Culver City - WMN Space,Culver City,90232,34.01970043,-118.3959568,10
Zooga Yoga For Kids - Culver City,Culver City,90232,34.01970043,-118.3959568,10
Shanti Hot Yoga,Culver City,90232,34.01970043,-118.3959568,10
Omkar 108 Yoga,Culver City,90232,34.01970043,-118.3959568,10
LA Fitness,Culver City,90232,34.01970043,-118.3959568,10
CorePower Yoga,Culver City,90232,34.01970043,-118.3959568,10
WMN SPACE,Culver City,90232,34.01970043,-118.3959568,10
Evolution Physical Therapy,Culver City,90230,33.99506425,-118.3950096,3
Spirit Fi,Culver City,90230,33.99506425,-118.3950096,3
The Breath Center,Culver City,90230,33.99506425,-118.3950096,3
LA Fitness,Beverly Hills,90212,34.06384134,-118.4002583,3
Natalia Yoga,Beverly Hills,90212,34.06384134,-118.4002583,3
BlazenFit,Beverly Hills,90212,34.06384134,-118.4002583,3
Hot 8 Yoga,Beverly Hills,90211,34.0656619,-118.3814662,10
Namastday Yoga,Beverly Hills,90211,34.0656619,-118.3814662,10
Shorty Yoga,Beverly Hills,90211,34.0656619,-118.3814662,10
Eon Wellness Center,Beverly Hills,90211,34.0656619,-118.3814662,10
Ma Yoga Beverly Hills - BHCMG,Beverly Hills,90211,34.0656619,-118.3814662,10
Brightly Balanced With Andrea,Beverly Hills,90211,34.0656619,-118.3814662,10
Spy Fitness,Beverly Hills,90211,34.0656619,-118.3814662,10
Music Meditation and Sound Bath with Nadene,Beverly Hills,90211,34.0656619,-118.3814662,10
Monica Ferroe Yoga,Beverly Hills,90211,34.0656619,-118.3814662,10
Alexandra Lauterio Yoga,Beverly Hills,90211,34.0656619,-118.3814662,10
BACH,Beverly Hills,90210,34.08553161,-118.4042688,6
Anahata Holistic Healing,Beverly Hills,90210,34.08553161,-118.4042688,6
Scarlett Tantrika,Beverly Hills,90210,34.08553161,-118.4042688,6
Alo Yoga,Beverly Hills,90210,34.08553161,-118.4042688,6
Stacey Alysson Yoga,Beverly Hills,90210,34.08553161,-118.4042688,6
