Census Tract,Neighborhood,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
101110,Tujunga,34.2595555,-118.293602,4314.0,40.6,53077.0,26996.0,679.0,15.73945294390357,3.847936949466852
101122,Tujunga,34.267357000000004,-118.29024,3239.0,52.3,88953.0,46974.0,109.0,3.3652361840074096,2.9021302871256562
101210,Tujunga,34.251998,-118.2926875,6052.0,36.6,32119.0,19902.0,1994.0,32.9477858559154,5.304031725049571
101220,Tujunga,34.2511895,-118.28101399999998,3497.0,39.7,41728.0,21844.0,524.0,14.984272233342866,3.7746639977123246
101300,Tujunga,34.2455945,-118.271731,4297.0,49.7,86914.0,35120.0,391.0,9.099371654642773,2.9090062834535724
101400,Tujunga,34.244254999999995,-118.296428,3851.0,44.4,71125.0,34799.0,321.0,8.335497273435472,3.895092183848351
102103,Shadow Hills,34.224154999999996,-118.354339,1771.0,45.8,76333.0,37500.0,156.0,8.8085827216262,4.686617730095991
102104,Shadow Hills,34.216189,-118.34562350000002,3554.0,41.1,70754.0,34131.0,423.0,11.902082160945413,5.26167698368036
102105,Sun Valley,34.210852,-118.34804950000002,1857.0,40.7,52132.0,24355.0,322.0,17.33979536887453,5.331179321486268
102107,Shadow Hills,34.2412955,-118.3292705,4333.0,44.8,106037.0,36130.0,332.0,7.662127855988922,3.161781675513501
103101,Sunland,34.274431,-118.30713999999999,2597.0,46.5,89211.0,35961.0,183.0,7.046592221794378,3.504043126684636
103102,Sunland,34.262834000000005,-118.30683,4456.0,44.1,74631.0,32143.0,245.0,5.498204667863555,3.81508078994614
103200,Lake View Terrace,34.2745565,-118.34390249999998,6726.0,46.0,71346.0,32375.0,994.0,14.778471602735653,1.3380909901873328
103300,Shadow Hills,34.255439,-118.35277749999999,3549.0,49.4,93207.0,48386.0,173.0,4.874612566920259,1.9160326852634546
103400,Sunland,34.253933,-118.31472450000001,6662.0,46.7,81618.0,38328.0,928.0,13.929750825577905,2.0714500150105075
104103,Lake View Terrace,34.281904499999996,-118.3918905,3647.0,37.0,86989.0,22767.0,274.0,7.513024403619413,0.7951741157115437
104105,Pacoima,34.276146000000004,-118.404645,6190.0,34.1,52616.0,21302.0,1402.0,22.649434571890147,4.264943457189014
104108,Pacoima,34.271671000000005,-118.39761399999999,5420.0,33.3,50259.0,18405.0,856.0,15.793357933579335,4.2619926199261995
104124,Lopez/Kagel Canyons,34.287865999999994,-118.376208,4189.0,38.3,84250.0,32266.0,321.0,7.662926712819289,2.315588445929816
104201,Pacoima,34.2867415,-118.41608049999999,4424.0,33.4,51563.0,14851.0,1075.0,24.299276672694393,2.848101265822785
104203,Pacoima,34.279058,-118.41155400000001,5541.0,32.9,46406.0,14331.0,1376.0,24.833062624075076,4.259158996571016
104204,Lake View Terrace,34.2886315,-118.396898,3562.0,36.4,63333.0,18052.0,486.0,13.644020213363278,3.5092644581695676
104310,Pacoima,34.2762555,-118.42939150000001,5313.0,30.4,69904.0,18399.0,669.0,12.59175607001694,2.5974025974025974
104320,Pacoima,34.27316,-118.4202235,5599.0,31.0,52895.0,17433.0,1331.0,23.772102161100197,6.35827826397571
104401,Pacoima,34.2670615,-118.433071,3452.0,31.3,69965.0,16758.0,683.0,19.785631517960603,3.7369640787949017
104403,Pacoima,34.258908500000004,-118.4345385,3279.0,34.5,55398.0,15408.0,654.0,19.945105215004574,4.208600182982616
104404,Pacoima,34.263920500000005,-118.4286915,3128.0,29.4,55341.0,15335.0,814.0,26.0230179028133,2.4296675191815855
104500,Pacoima,34.25551,-118.42574850000001,2950.0,34.1,60139.0,14574.0,682.0,23.11864406779661,1.694915254237288
104610,Pacoima,34.260433500000005,-118.41899550000001,3504.0,32.8,60320.0,15233.0,588.0,16.78082191780822,2.482876712328767
104620,Pacoima,34.257904499999995,-118.42246499999999,3684.0,30.8,62014.0,16580.0,337.0,9.147665580890337,2.768729641693811
104701,Pacoima,34.268476,-118.4152165,4325.0,26.1,32036.0,10106.0,1445.0,33.410404624277454,5.15606936416185
104703,Pacoima,34.2551165,-118.399872,2311.0,28.6,39181.0,15544.0,721.0,31.198615318044137,3.2453483340545217
104704,Pacoima,34.262515500000006,-118.40884150000001,4331.0,32.5,48581.0,20014.0,1092.0,25.2135765412145,2.3782036481182174
104810,Pacoima,34.2502955,-118.411179,5789.0,36.4,74145.0,17969.0,861.0,14.873035066505441,2.4356538262221457
104821,Pacoima,34.246570500000004,-118.416294,3361.0,30.5,68750.0,19261.0,672.0,19.994049390062482,4.433204403451354
