Studio,City,ZIP Code,Location
Disco Gym,Los Angeles,90026.0,"34.07687201300007, -118.26535895999996"
"Judith S Daniels, DPT C-IAYT",Marina Del Rey,90292.0,"33.98163383800005, -118.45110794499999"
Happy Yoga LA,Los Angeles,90019.0,"34.04884238300008, -118.33610868499994"
RA MA East,Los Angeles,90018.0,"34.030771505000075, -118.31686899999994"
Yoga Trapeze with Robyn,Los Angeles,90028.0,"34.10072174800007, -118.32821815499994"
Gaia Life Yoga,Los Angeles,90028.0,"34.10072174800007, -118.32821815499994"
Ekatala Yoga,Los Angeles,90006.0,"34.05010243400005, -118.29268904499997"
Music Meditation and Sound Bath with Nadene,Beverly Hills,90211.0,"34.06566189900008, -118.38146619699995"
Damian Hagglund,Los Angeles,90035.0,"34.054282330000035, -118.38385594999994"
Meredith Grubbs Yoga,Los Angeles,90029.0,"34.08989399500007, -118.29490934199998"
Living Lighthouse,Los Angeles,90046.0,"34.097150154000076, -118.35826821299997"
Maya Mind Body - Private Yoga Training,Los Angeles,90034.0,"34.028290507000065, -118.40269589399998"
Linda Lack The Thinking Body The Feeling Mind,Los Angeles,90035.0,"34.054282330000035, -118.38385594999994"
Mind-Body-Soul Harmony,Los Angeles,90028.0,"34.10072174800007, -118.32821815499994"
Soulspaces Yoga with Stefani Manger,Los Angeles,90039.0,"34.11160164200004, -118.26125727499999"
Peaceful Pug: Yoga and Reiki by Jessica,Los Angeles,90046.0,"34.097150154000076, -118.35826821299997"
yoga4men,West Hollywood,90069.0,"34.08940300900008, -118.37978902499998"
Sanctuary of Sounds,Los Angeles,90001.0,"33.973274047000075, -118.24896959899996"
Brittany Rose Yoga,Los Angeles,90068.0,"34.11525144700005, -118.33141607899995"
Voice Yoga with Kent Klineman,Los Angeles,90039.0,"34.11160164200004, -118.26125727499999"
Moved by Jane,Los Angeles,90048.0,"34.073161378000066, -118.37406665299994"
Flow Together Fitness,Los Angeles,90026.0,"34.07687201300007, -118.26535895999996"
Ivorie Jenkins Yoga,West Hollywood,90069.0,"34.08940300900008, -118.37978902499998"
"Dawn Runge, D.C",Los Angeles,90027.0,"34.10546214900006, -118.29236751399998"
UpRising Yoga,Los Angeles,90039.0,"34.11160164200004, -118.26125727499999"
LA Fitness,Playa Vista,90094.0,"33.97293079200006, -118.42532902699998"
Wonder Yogis,Los Angeles,90024.0,"34.06136034300005, -118.44023674099998"
Breathe Deep Yoga,Los Angeles,90027.0,"34.10546214900006, -118.29236751399998"
Michelle Mikolis Yoga,Los Angeles,90046.0,"34.097150154000076, -118.35826821299997"
Sarah Yoga,North Hollywood,91602.0,"34.15134106200003, -118.36907858599994"
DISCLOSURE FEST,Los Angeles,90021.0,"34.030124099000034, -118.24177861499999"
Embodied by Safyra,North Hollywood,91601.0,"34.16713081200004, -118.37252852099999"
C. Josephine Wilkins,Topanga,90290.0,"34.10128225400007, -118.60494720999998"
Naomi Zelin Yoga,Glendale,91204.0,"34.13669404900003, -118.25949754799996"
Find Your Balance Yoga,Los Angeles,90066.0,"34.00215095400006, -118.42903966199998"
Yoga 108,North Hollywood,91601.0,"34.16713081200004, -118.37252852099999"
Sheade Yoga,Glendale,91201.0,"34.16917296500003, -118.291815698"
Milena Brewster FIT,Los Angeles,90024.0,"34.06136034300005, -118.44023674099998"
Yoga by Feri West,Los Angeles,90024.0,"34.06136034300005, -118.44023674099998"
Hollywood Detox Center,Los Angeles,90029.0,"34.08989399500007, -118.29490934199998"
5 Lion Fitness,Van Nuys,91411.0,"34.179331588000025, -118.45792960399996"
Tom Widdison Slackline & Partner Acrobatics Instructor,Los Angeles,90001.0,"33.973274047000075, -118.24896959899996"
Monica Ferroe Yoga,Beverly Hills,90211.0,"34.06566189900008, -118.38146619699995"
Courtnay Meletta,Santa Monica,90404.0,"34.02784297100004, -118.47471870499999"
Psalm Isadora Yoga,Los Angeles,90066.0,"34.00215095400006, -118.42903966199998"
Yoga By Jenni,Playa Vista,90094.0,"33.97293079200006, -118.42532902699998"
Kids Yoga At Rediscover,Los Angeles,90066.0,"34.00215095400006, -118.42903966199998"
Adi Shaktee,Van Nuys,91401.0,"34.181152145000055, -118.43482720999998"
"Cory Nakamura, CMT",Studio City,91604.0,"34.144462919000034, -118.39427961799998"
CorePower Yoga,Culver City,90232.0,"34.01970043100005, -118.39595678999996"
Source of Yoga,Los Angeles,90046.0,"34.097150154000076, -118.35826821299997"
YogaWorks Studio City,Studio City,91604.0,"34.144462919000034, -118.39427961799998"
play,Los Angeles,90021.0,"34.030124099000034, -118.24177861499999"
LIfe Vibes Los Angeles,Encino,91316.0,"34.16673107200006, -118.51629606299997"
AE Wellness - Alexandra Ellis,Burbank,91505.0,"34.167673938000064, -118.34449888999995"
Immanuel's Healing Center,Los Angeles,90005.0,"34.05907052600003, -118.30301712299996"
Salas Studio Gallery,Los Angeles,90012.0,"34.05948330100006, -118.24204800499996"
Mind Body Soul Studio,Glendale,91203.0,"34.15282270900008, -118.26132679499995"
Living Lēla,Los Angeles,90001.0,"33.973274047000075, -118.24896959899996"
Meraki Studios LA,Los Angeles,90014.0,"34.04475373200006, -118.25273671899998"
T5T Reiki,Burbank,91505.0,"34.167673938000064, -118.34449888999995"
Aroma Spa & Sport,Los Angeles,90010.0,"34.06139075900006, -118.30969974099997"
Danzenyoga,Los Angeles,90066.0,"34.00215095400006, -118.42903966199998"
Doreen Rivera's - The Bodyful Mind,North Hollywood,91602.0,"34.15134106200003, -118.36907858599994"
Kristina Nikols Wellness,Pasadena,91101.0,"34.145210260000056, -118.13830665399996"
Inner Way LA,Los Angeles,90045.0,"33.961520807000056, -118.39344972199996"
Conscious Personal Training,Los Angeles,90034.0,"34.028290507000065, -118.40269589399998"
Inverted Play,Los Angeles,90019.0,"34.04884238300008, -118.33610868499994"
Lilia Margaryan Dance Studio,Glendale,91205.0,"34.13853198600003, -118.24386856299998"
Basia Haridass Tacik,Pasadena,91107.0,"34.150763177000044, -118.09228870099997"
Sivananda Yoga Vedanta Center,Marina Del Rey,90292.0,"33.98163383800005, -118.45110794499999"
LA Fitness,Los Angeles,90045.0,"33.961520807000056, -118.39344972199996"
Yoga Expo,Los Angeles,90035.0,"34.054282330000035, -118.38385594999994"
Natalia Yoga,Beverly Hills,90212.0,"34.063841342000046, -118.40025834599999"
Pilates Training With Robert Hanson,Los Angeles,90048.0,"34.073161378000066, -118.37406665299994"
Dubner Wellness Group,North Hollywood,91602.0,"34.15134106200003, -118.36907858599994"
Alexandra Lauterio Yoga,Beverly Hills,90211.0,"34.06566189900008, -118.38146619699995"
Clear Gardens Yoga Studio,Inglewood,90302.0,"33.97375199800007, -118.35768598199996"
Jaclyn Urban Luna Coaching,Sherman Oaks,91423.0,"34.15306168500007, -118.43295885699996"
Polish Your Star Fitness,Burbank,91505.0,"34.167673938000064, -118.34449888999995"
Yoga With Lois,Los Angeles,90066.0,"34.00215095400006, -118.42903966199998"
P by Paris,Los Angeles,90025.0,"34.045183888000054, -118.45025632399995"
Stress Away,Santa Monica,90403.0,"34.02842085700007, -118.49353692399995"
Ancien Wellness,Los Angeles,90046.0,"34.097150154000076, -118.35826821299997"
Lila Yoga,Sherman Oaks,91423.0,"34.15306168500007, -118.43295885699996"
FitClub: Corporate Wellness and Personal Training,Los Angeles,90001.0,"33.973274047000075, -118.24896959899996"
BlazenFit,Beverly Hills,90212.0,"34.063841342000046, -118.40025834599999"
Feeling Fit Fitness,Valley Village,91617.0,"34.16486271900004, -118.40451645099995"
"Jenn Parr, Health & Happiness Coach",Long Beach,90803.0,"33.76151151400006, -118.13748979299999"
Amanda Star,Los Angeles,90004.0,"34.075720587000035, -118.30301712299996"
The Ahava Way,Los Angeles,90036.0,"34.06892065300008, -118.35080783799998"
Puneet Yoga,Los Angeles,90010.0,"34.06139075900006, -118.30969974099997"
Yoga with Fay,Los Angeles,90036.0,"34.06892065300008, -118.35080783799998"
Mindful Masha,Los Angeles,90028.0,"34.10072174800007, -118.32821815499994"
The Yoga Garage,Los Angeles,90046.0,"34.097150154000076, -118.35826821299997"
Embodiment Work,Los Angeles,90014.0,"34.04475373200006, -118.25273671899998"
Yoga Daz,Los Angeles,90048.0,"34.073161378000066, -118.37406665299994"
Aunt Bessi's Creative Healing Center,Los Angeles,90064.0,"34.03541197100003, -118.43217675599999"
WMN SPACE,Culver City,90232.0,"34.01970043100005, -118.39595678999996"
Los Angeles Therapy Institute,Los Angeles,90017.0,"34.05230100700004, -118.26338632699998"
Mary DeCaro,Los Angeles,90068.0,"34.11525144700005, -118.33141607899995"
Sara R. van Koningsveld,Los Angeles,90001.0,"33.973274047000075, -118.24896959899996"
Oleg Flow Yoga,Los Angeles,90034.0,"34.028290507000065, -118.40269589399998"
Stacey Alysson Yoga,Beverly Hills,90210.0,"34.08553160900004, -118.40426878599999"
Arne Yoga For Seniors,Los Angeles,90025.0,"34.045183888000054, -118.45025632399995"
Aolani Yoga,Los Angeles,90039.0,"34.11160164200004, -118.26125727499999"
Mind Body & Spirit Healing,Los Angeles,90066.0,"34.00215095400006, -118.42903966199998"
Namaste Jenay,Los Angeles,90064.0,"34.03541197100003, -118.43217675599999"
Faith & Flow,Studio City,91604.0,"34.144462919000034, -118.39427961799998"
OM Mantra House,Los Angeles,90068.0,"34.11525144700005, -118.33141607899995"
Brain Gangster,Long Beach,90802.0,"33.76935424900006, -118.184528823"
Divine Dance Los Angeles,Los Angeles,90026.0,"34.07687201300007, -118.26535895999996"
HAAS Wellness Center,Glendale,91205.0,"34.13853198600003, -118.24386856299998"
Yoga Tune Up,Studio City,91604.0,"34.144462919000034, -118.39427961799998"
Studio Hasiyat,Studio City,91604.0,"34.144462919000034, -118.39427961799998"
LA Fitness,Huntington Park,90255.0,"33.97867054400007, -118.21899775099996"
Skylark Yoga & Bodywork,Los Angeles,90046.0,"34.097150154000076, -118.35826821299997"
Temple Of Bliss,Los Angeles,90028.0,"34.10072174800007, -118.32821815499994"
Bahia Shortlidge,Sherman Oaks,91423.0,"34.15306168500007, -118.43295885699996"
SAFE HAVEN RECOVERY,Beverly Hills,90210.0,"34.08553160900004, -118.40426878599999"
Angel Najarian,Marina Del Rey,90292.0,"33.98163383800005, -118.45110794499999"
Beyond Fitness,West Hollywood,90069.0,"34.08940300900008, -118.37978902499998"
Anusara Yoga LA,West Hollywood,90069.0,"34.08940300900008, -118.37978902499998"
CorePower Yoga,Marina Del Rey,90292.0,"33.98163383800005, -118.45110794499999"
Aaron J. Martin - Unify Yogic Arts,Los Angeles,90043.0,"33.986730529000056, -118.33290641499997"
Rose Moran Mindful Movement,Sherman Oaks,91423.0,"34.15306168500007, -118.43295885699996"
Malibu Psychic Center,Malibu,90265.0,"34.035060025000064, -118.76029853699998"
